,TweetId,Label
0,304271250237304833,Politics
1,304834304222064640,Politics
2,303568995880144898,Sports
3,304366580664528896,Sports
4,296770931098009601,Sports
5,306713195832307712,Politics
6,306100962337112064,Politics
7,305951758759366657,Sports
8,304482567158104065,Sports
9,303806584964935680,Sports
10,306682472169623552,Sports
11,306094964914401280,Politics
12,294606381783322625,Politics
13,284243333201686528,Politics
14,254347919229063168,Politics
15,303458616621535235,Sports
16,304642350859304960,Sports
17,306322535920857088,Politics
18,305087150821625856,Sports
19,300155542826008577,Sports
20,305615385623945216,Sports
21,304270365704744960,Sports
22,266017766702723072,Politics
23,303453980573437952,Sports
24,266080403209740288,Politics
25,305957332192468992,Sports
26,306270595836956672,Sports
27,291518381717344256,Sports
28,278568880476143617,Politics
29,303799049318957057,Sports
30,295816549883858944,Politics
31,305672149245497345,Sports
32,306832539874623488,Sports
33,304267284246065152,Politics
34,305695872103112705,Sports
35,304157630681735168,Politics
36,304683937534455810,Sports
37,300699571611369472,Sports
38,304472546093449216,Sports
39,298457528747061248,Politics
40,271594100619350016,Politics
41,266045769855926274,Politics
42,298738290717245440,Politics
43,305304475906752513,Sports
44,269751597230329856,Politics
45,291510654538502144,Sports
46,302322382390059008,Politics
47,297229537987657728,Politics
48,277091499831853056,Politics
49,306322955879714816,Sports
50,299135257817522177,Sports
51,306463731074859008,Sports
52,268885075209383936,Politics
53,306496142206722049,Sports
54,306719563507175424,Sports
55,291433771549470720,Sports
56,306730672402362368,Politics
57,298854314523389952,Sports
58,306002742839750656,Sports
59,278703567974576128,Politics
60,296980992495869952,Politics
61,296825189348544512,Sports
62,299923604336943104,Sports
63,282797601772945408,Politics
64,303477029179908096,Politics
65,279312178039881729,Politics
66,303893452209389569,Sports
67,305479693312880640,Sports
68,304078187711836162,Politics
69,305407173247266816,Sports
70,301552723923443713,Politics
71,294304304070811648,Politics
72,298864592199753730,Sports
73,261953376303071232,Politics
74,299814831714885632,Politics
75,304448136741548032,Politics
76,302704108584972288,Sports
77,303741385025150976,Sports
78,304286462357155841,Sports
79,280545396147748864,Politics
80,306075937320099840,Politics
81,300214177585324033,Politics
82,305287398558949376,Sports
83,304878116701077504,Politics
84,299606852755410945,Politics
85,304885960183799809,Sports
86,251059284031442944,Politics
87,303531551881302016,Sports
88,304670942976675840,Politics
89,302145145611104256,Sports
90,306406987292348416,Sports
91,306359424744845312,Politics
92,304323615803973633,Politics
93,302015693191254017,Politics
94,305967108087504896,Sports
95,305671720700870656,Politics
96,306284550433165313,Politics
97,306711000986554368,Politics
98,270504854936489984,Politics
99,305715604843794433,Politics
100,295527458399219714,Sports
101,294379990496202752,Politics
102,305912115804381185,Sports
103,300918261007126528,Politics
104,304932041575784449,Politics
105,303170821017464832,Sports
106,306229497206804480,Politics
107,304587281489068032,Politics
108,286715991830978560,Politics
109,305304176034983936,Sports
110,301520821153828864,Politics
111,304538324436144128,Politics
112,248893806408249345,Politics
113,264505656202100736,Politics
114,306325985228361731,Politics
115,292990239415336960,Politics
116,278855960913649666,Politics
117,299516707700097024,Politics
118,288204098195570688,Politics
119,301303834238652416,Politics
120,294439941713297408,Politics
121,305712658693378050,Sports
122,295097803351400448,Politics
123,294491586572742656,Sports
124,306345853000499200,Politics
125,305579828973821952,Sports
126,304380097782235136,Politics
127,305898900726894592,Sports
128,304637533202038784,Sports
129,305158133507055618,Sports
130,306011214759227392,Politics
131,302175102269784064,Politics
132,302751122408493056,Politics
133,266062679272198144,Politics
134,296644390636621824,Politics
135,293124214356078592,Sports
136,304130216605937664,Politics
137,278858783818670080,Politics
138,306646774884470784,Sports
139,301215039719878656,Politics
140,297589691706904576,Politics
141,303173314715742210,Sports
142,305705899299835904,Sports
143,286377334381092864,Politics
144,296850471824547840,Politics
145,32686048047800320,Sports
146,303631987988639744,Sports
147,304153441641570304,Sports
148,299183882585133056,Politics
149,280532180655042560,Politics
150,306473843726368768,Sports
151,306188136793395200,Sports
152,286038416469151744,Politics
153,304359380172828673,Sports
154,295517094706049024,Sports
155,300546371319103488,Sports
156,298177041352757248,Sports
157,303531513390182400,Sports
158,306126217743048704,Sports
159,295518908943826946,Sports
160,306471809375686657,Politics
161,305155235771457536,Sports
162,292126250582044672,Sports
163,24140978734,Sports
164,296186267987738624,Politics
165,305991271686733824,Sports
166,294379306140983296,Politics
167,306797416915546113,Sports
168,301244250429984768,Politics
169,305821023952056320,Sports
170,253932853237268480,Politics
171,306755639936442370,Politics
172,305081788752084994,Politics
173,300551487929593857,Sports
174,301465739968266242,Sports
175,302415205630099457,Sports
176,306425302651899904,Politics
177,304992136158408704,Sports
178,300545340401135616,Sports
179,300944691468328960,Politics
180,300152282891304960,Sports
181,305931970154729472,Sports
182,301901603877830656,Sports
183,298914201911566336,Sports
184,305950407887310850,Politics
185,22827095033913344,Sports
186,301530264377634816,Politics
187,306506516754726912,Sports
188,268667343276756992,Politics
189,302375393808220160,Politics
190,305925910161408000,Sports
191,298332792385847296,Politics
192,303899119162888192,Politics
193,304615059001331712,Sports
194,303953673799729152,Politics
195,305376387215278080,Politics
196,303799519789862912,Sports
197,51302786293448704,Sports
198,306089223918850048,Sports
199,299120394588286978,Sports
200,302806767916695552,Sports
201,249902960988016640,Politics
202,301902918670483456,Sports
203,292562506919075840,Politics
204,300944931323793409,Politics
205,277755508444782593,Politics
206,304145286324957185,Sports
207,305932149159243776,Politics
208,265934989449904128,Politics
209,306144335664119808,Politics
210,302459304944996352,Sports
211,292593585738641408,Politics
212,294097343320580098,Politics
213,24763402412,Sports
214,261166473832169472,Politics
215,305678065151930368,Sports
216,305280511910236161,Sports
217,306001257728991232,Sports
218,24469897205,Sports
219,305714318073270272,Sports
220,306677256581963776,Sports
221,306320579873624064,Politics
222,305769073030078464,Politics
223,262346129100906496,Politics
224,32685963452878848,Sports
225,282382234311348224,Politics
226,304130556134817793,Politics
227,306758507548520449,Politics
228,293358953075720193,Politics
229,306260253312442369,Sports
230,295829422999732224,Politics
231,304489491362631680,Politics
232,292239062243364864,Politics
233,304249804890988547,Sports
234,300075111678091264,Sports
235,265841259346804736,Politics
236,291288976252338176,Sports
237,306772753187487746,Sports
238,304937372699738113,Sports
239,306811134286110720,Politics
240,301000407067537408,Sports
241,303110571887312896,Sports
242,300558109129179136,Sports
243,297269164400324608,Politics
244,302531522022481920,Politics
245,296662325543460866,Politics
246,306078772929642496,Politics
247,300251616941047809,Sports
248,282740540884279297,Politics
249,304926280502091776,Politics
250,303802481211744256,Politics
251,296209216820097024,Politics
252,303417576862646272,Sports
253,301901513234710529,Sports
254,306472492443267072,Sports
255,266003435139260416,Politics
256,304552634684170240,Politics
257,304637328654209024,Sports
258,301409147486867456,Politics
259,305920603439906816,Politics
260,276935807544197120,Politics
261,301738302103511040,Politics
262,305540890569617408,Sports
263,304595361593454592,Sports
264,286265197876895745,Politics
265,304516223268425728,Politics
266,301359666821230593,Politics
267,306625483846594561,Sports
268,304846131874127873,Politics
269,306475990668959744,Sports
270,292598483452583937,Sports
271,303365244233842688,Sports
272,125182199732506624,Sports
273,306713530621624320,Politics
274,306502569008721920,Sports
275,283861410373570560,Politics
276,304275668655562752,Politics
277,304273770317766656,Politics
278,286889710595485697,Politics
279,305552342030360576,Sports
280,295522466636386304,Sports
281,300076337291476992,Sports
282,305130940567527424,Sports
283,273803154263519232,Politics
284,36272927968067584,Sports
285,301467706773884928,Sports
286,306833861571133440,Sports
287,306441079706763264,Politics
